experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.75,0.7452153110047848,0.8468899521531101,0.769099850098302,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,10
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.7540983606557377,0.7383449883449883,0.8240093240093239,0.7595635740522103,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.7948717948717948,15,8,31,7,11
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.7833333333333333,0.7715311004784688,0.8241626794258374,0.7329747309276282,0.7111111111111111,0.6956521739130435,0.7272727272727273,0.8157894736842105,16,7,31,6,12
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.8333333333333334,0.8205741626794258,0.895933014354067,0.8778315014772786,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.868421052631579,17,5,33,5,13
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.7666666666666667,0.7583732057416268,0.8169856459330144,0.7813157190111033,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7894736842105263,16,8,30,6,14
logreg_elasticnet_C1_l1r0.5_t1_only,t1_only,logreg_elasticnet_C1_l1r0.5,0.85,0.8528708133971292,0.8744019138755982,0.8494551603762328,0.8085106382978723,0.76,0.8636363636363636,0.8421052631578947,19,6,32,3,15
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8852459016393442,0.8904428904428905,0.9032634032634035,0.8338958990517126,0.851063829787234,0.8,0.9090909090909091,0.8717948717948718,20,5,34,2,1
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8,0.8038277511961722,0.8576555023923446,0.8510444743471759,0.75,0.6923076923076923,0.8181818181818182,0.7894736842105263,18,8,30,4,2
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8333333333333334,0.8492822966507176,0.9485645933014355,0.9188335980325144,0.8,0.7142857142857143,0.9090909090909091,0.7894736842105263,20,8,30,2,3
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8,0.7751196172248804,0.8899521531100479,0.8698768423062484,0.7142857142857143,0.75,0.6818181818181818,0.868421052631579,15,5,33,7,4
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8166666666666667,0.8169856459330144,0.910287081339713,0.899368425693283,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,5
logreg_l2_t0_t1,t0_t1,logreg_l2,0.7868852459016393,0.7937062937062938,0.8892773892773893,0.8750063843015807,0.7346938775510204,0.6666666666666666,0.8181818181818182,0.7692307692307693,18,9,30,4,6
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8666666666666667,0.8564593301435407,0.9138755980861244,0.895138175437364,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8947368421052632,18,4,34,4,7
logreg_l2_t0_t1,t0_t1,logreg_l2,0.85,0.8337320574162679,0.9126794258373205,0.8955234397102179,0.7906976744186046,0.8095238095238095,0.7727272727272727,0.8947368421052632,17,4,34,5,8
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8333333333333334,0.8397129186602871,0.8923444976076556,0.8865404890946686,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,9
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8666666666666667,0.8755980861244019,0.916267942583732,0.8802162166474625,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.8421052631578947,20,6,32,2,10
logreg_l2_t0_t1,t0_t1,logreg_l2,0.819672131147541,0.7995337995337995,0.8484848484848484,0.8184267770158788,0.7441860465116279,0.7619047619047619,0.7272727272727273,0.8717948717948718,16,5,34,6,11
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8166666666666667,0.8265550239234449,0.9019138755980861,0.8453166064778366,0.7755102040816326,0.7037037037037037,0.8636363636363636,0.7894736842105263,19,8,30,3,12
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8333333333333334,0.8588516746411483,0.9449760765550239,0.9539640217311549,0.8076923076923077,0.7,0.9545454545454546,0.7631578947368421,21,9,29,1,13
logreg_l2_t0_t1,t0_t1,logreg_l2,0.7,0.7248803827751196,0.8708133971291866,0.8290976907499226,0.6666666666666666,0.5625,0.8181818181818182,0.631578947368421,18,14,24,4,14
logreg_l2_t0_t1,t0_t1,logreg_l2,0.8333333333333334,0.8397129186602871,0.9389952153110047,0.9173220981735524,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,15
logreg_l2_t0_delta,t0_delta,logreg_l2,0.8032786885245902,0.8065268065268065,0.8566433566433568,0.755685354937873,0.75,0.6923076923076923,0.8181818181818182,0.7948717948717948,18,8,31,4,1
logreg_l2_t0_delta,t0_delta,logreg_l2,0.6666666666666666,0.6602870813397129,0.7870813397129187,0.7622667668195113,0.5833333333333334,0.5384615384615384,0.6363636363636364,0.6842105263157895,14,12,26,8,2
logreg_l2_t0_delta,t0_delta,logreg_l2,0.7333333333333333,0.7416267942583732,0.8492822966507176,0.7956907892513283,0.68,0.6071428571428571,0.7727272727272727,0.7105263157894737,17,11,27,5,3
logreg_l2_t0_delta,t0_delta,logreg_l2,0.8,0.7655502392344498,0.7954545454545454,0.7512502175551916,0.7,0.7777777777777778,0.6363636363636364,0.8947368421052632,14,4,34,8,4
logreg_l2_t0_delta,t0_delta,logreg_l2,0.7833333333333333,0.7906698564593302,0.854066985645933,0.81326475358772,0.7346938775510204,0.6666666666666666,0.8181818181818182,0.7631578947368421,18,9,29,4,5
logreg_l2_t0_delta,t0_delta,logreg_l2,0.7540983606557377,0.7581585081585082,0.803030303030303,0.7534983506945747,0.6938775510204082,0.6296296296296297,0.7727272727272727,0.7435897435897436,17,10,29,5,6
logreg_l2_t0_delta,t0_delta,logreg_l2,0.8,0.784688995215311,0.8397129186602872,0.823715091016179,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8421052631578947,16,6,32,6,7
logreg_l2_t0_delta,t0_delta,logreg_l2,0.75,0.7452153110047848,0.791866028708134,0.7336353292785747,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,8
logreg_l2_t0_delta,t0_delta,logreg_l2,0.6833333333333333,0.6638755980861244,0.7834928229665072,0.7053121270122518,0.5777777777777777,0.5652173913043478,0.5909090909090909,0.7368421052631579,13,10,28,9,9
logreg_l2_t0_delta,t0_delta,logreg_l2,0.8,0.8038277511961722,0.8923444976076556,0.8221716343318155,0.75,0.6923076923076923,0.8181818181818182,0.7894736842105263,18,8,30,4,10
logreg_l2_t0_delta,t0_delta,logreg_l2,0.7540983606557377,0.7185314685314685,0.7447552447552448,0.6942279287411295,0.6341463414634146,0.6842105263157895,0.5909090909090909,0.8461538461538461,13,6,33,9,11
logreg_l2_t0_delta,t0_delta,logreg_l2,0.7166666666666667,0.7093301435406698,0.8480861244019138,0.7707688240316448,0.6382978723404256,0.6,0.6818181818181818,0.7368421052631579,15,10,28,7,12
logreg_l2_t0_delta,t0_delta,logreg_l2,0.6833333333333333,0.6925837320574163,0.8038277511961723,0.7427264723955689,0.6274509803921569,0.5517241379310345,0.7272727272727273,0.6578947368421053,16,13,25,6,13
logreg_l2_t0_delta,t0_delta,logreg_l2,0.7,0.715311004784689,0.7715311004784688,0.7264358264759134,0.6538461538461539,0.5666666666666667,0.7727272727272727,0.6578947368421053,17,13,25,5,14
logreg_l2_t0_delta,t0_delta,logreg_l2,0.8333333333333334,0.8397129186602871,0.9150717703349283,0.8583029023792867,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,15
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.8524590163934426,0.8548951048951049,0.8904428904428905,0.7920128891104022,0.8085106382978723,0.76,0.8636363636363636,0.8461538461538461,19,6,33,3,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7333333333333333,0.7416267942583732,0.8229665071770335,0.7830734118923524,0.68,0.6071428571428571,0.7727272727272727,0.7105263157894737,17,11,27,5,2
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7833333333333333,0.8002392344497608,0.9186602870813396,0.8838004537732798,0.7450980392156863,0.6551724137931034,0.8636363636363636,0.7368421052631579,19,10,28,3,3
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7833333333333333,0.7523923444976077,0.8600478468899522,0.8442344115673333,0.6829268292682927,0.7368421052631579,0.6363636363636364,0.868421052631579,14,5,33,8,4
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7833333333333333,0.7906698564593302,0.8839712918660287,0.8538042961179606,0.7346938775510204,0.6666666666666666,0.8181818181818182,0.7631578947368421,18,9,29,4,5
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7868852459016393,0.7937062937062938,0.8566433566433567,0.8415490526015401,0.7346938775510204,0.6666666666666666,0.8181818181818182,0.7692307692307693,18,9,30,4,6
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7833333333333333,0.7811004784688995,0.881578947368421,0.8526923240158533,0.723404255319149,0.68,0.7727272727272727,0.7894736842105263,17,8,30,5,7
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.75,0.7452153110047848,0.8576555023923444,0.8375665895188182,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,8
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7333333333333333,0.7320574162679425,0.8289473684210527,0.7822925015516731,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.7368421052631579,16,10,28,6,9
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.8,0.8133971291866029,0.9114832535885167,0.8599773323219753,0.76,0.6785714285714286,0.8636363636363636,0.7631578947368421,19,9,29,3,10
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7540983606557377,0.7383449883449883,0.8065268065268065,0.7577341178544386,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.7948717948717948,15,8,31,7,11
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.7666666666666667,0.7870813397129186,0.8648325358851675,0.7816921926151206,0.7307692307692307,0.6333333333333333,0.8636363636363636,0.7105263157894737,19,11,27,3,12
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.8166666666666667,0.8456937799043063,0.9078947368421053,0.8870547930208172,0.7924528301886793,0.6774193548387096,0.9545454545454546,0.7368421052631579,21,10,28,1,13
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.6833333333333333,0.7021531100478469,0.8205741626794258,0.781246234152968,0.6415094339622641,0.5483870967741935,0.7727272727272727,0.631578947368421,17,14,24,5,14
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,0.8166666666666667,0.8169856459330144,0.9126794258373205,0.8772015773352868,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,15
pca10_logreg_t0_only,t0_only,pca10_logreg,0.7868852459016393,0.7837995337995338,0.7587412587412588,0.6260905738286203,0.723404255319149,0.68,0.7727272727272727,0.7948717948717948,17,8,31,5,1
pca10_logreg_t0_only,t0_only,pca10_logreg,0.75,0.7452153110047848,0.8014354066985646,0.7228887654059688,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,2
pca10_logreg_t0_only,t0_only,pca10_logreg,0.6333333333333333,0.6148325358851674,0.7559808612440191,0.6414058612151897,0.5217391304347826,0.5,0.5454545454545454,0.6842105263157895,12,12,26,10,3
pca10_logreg_t0_only,t0_only,pca10_logreg,0.6166666666666667,0.5825358851674641,0.7212918660287081,0.6785635506184786,0.46511627906976744,0.47619047619047616,0.45454545454545453,0.7105263157894737,10,11,27,12,4
pca10_logreg_t0_only,t0_only,pca10_logreg,0.7333333333333333,0.7320574162679425,0.757177033492823,0.7010864837490223,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.7368421052631579,16,10,28,6,5
pca10_logreg_t0_only,t0_only,pca10_logreg,0.6065573770491803,0.5932400932400932,0.6585081585081585,0.5256004733134866,0.5,0.46153846153846156,0.5454545454545454,0.6410256410256411,12,14,25,10,6
pca10_logreg_t0_only,t0_only,pca10_logreg,0.8166666666666667,0.8074162679425837,0.8600478468899522,0.7517467981545153,0.7555555555555555,0.7391304347826086,0.7727272727272727,0.8421052631578947,17,6,32,5,7
pca10_logreg_t0_only,t0_only,pca10_logreg,0.7166666666666667,0.6997607655502392,0.7332535885167463,0.7069646856650909,0.6222222222222222,0.6086956521739131,0.6363636363636364,0.7631578947368421,14,9,29,8,8
pca10_logreg_t0_only,t0_only,pca10_logreg,0.6833333333333333,0.6543062200956937,0.7607655502392345,0.6638668731272679,0.5581395348837209,0.5714285714285714,0.5454545454545454,0.7631578947368421,12,9,29,10,9
