experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,n_samples,n_features,effective_n_features,n_cv_fits,threshold_mean,threshold_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,pooled_threshold,pooled_accuracy,pooled_balanced_accuracy,pooled_roc_auc,pooled_pr_auc,pooled_f1,pooled_precision,pooled_recall_sensitivity,pooled_specificity,pooled_tp,pooled_fp,pooled_tn,pooled_fn
xgboost_select50_t1_only,t1_only,xgboost,selectk,tuned_f1,50.0,,301,2000,50,15,0.2966666666666667,0.12132698832179958,0.5526047358834244,0.11141545215774262,0.6134216660532451,0.06237229084938298,0.6391690181163864,0.06000485490658493,0.5324518153711926,0.08264323182042771,0.5822698338889905,0.028980417329441024,0.46231655058850657,0.07844000182704554,0.8393939393939395,0.13513151871949208,0.3874493927125507,0.24914052402943204,0.3,0.5249169435215947,0.584531175630652,0.6343910307261093,0.48952315766632004,0.5535900104058272,0.4215530903328051,0.806060606060606,0.36300174520069806,266,365,208,64
xgboost_select100_t1_only,t1_only,xgboost,selectk,default_0.5,100.0,,301,2000,100,15,0.5,0.0,0.6510200364298726,0.044651920251021396,0.6164989980779456,0.04784659597322321,0.6843045843045842,0.05662382712430562,0.5560996797555728,0.07125874546700331,0.5027620840930136,0.0666089884285861,0.5275410288897971,0.06103624651514623,0.48787878787878775,0.09482891241012027,0.7451192082771029,0.06567900473496242,0.5,0.6511627906976745,0.6165397429795335,0.6814374107567825,0.5131724282335133,0.5054945054945055,0.5244299674267101,0.48787878787878786,0.7452006980802792,161,146,427,169
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100.0,,301,2000,100,15,0.3366666666666667,0.10516427059378965,0.6066302367941712,0.09278196282227928,0.6570727518095939,0.05897860791801491,0.6843045843045842,0.05662382712430562,0.5560996797555728,0.07125874546700331,0.6142107774574541,0.03751634184460497,0.4927292989667681,0.06580825968502942,0.8454545454545453,0.11370128015901708,0.46869095816464246,0.19825393439476321,0.35,0.5791805094130675,0.6253609392352848,0.6814374107567825,0.5131724282335133,0.5805739514348786,0.4565972222222222,0.796969696969697,0.4537521815008726,263,313,260,67
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200.0,,301,2000,200,15,0.5,0.0,0.6721857923497266,0.035776435432058155,0.6299758720811351,0.03499748679728389,0.7040424487792908,0.04189613974051242,0.5800695877286274,0.06538233226024034,0.5108139186919948,0.05793547297028484,0.5684281531672836,0.06850067867180785,0.4727272727272726,0.08021517696977797,0.7872244714349977,0.06690556060248837,0.5,0.6722037652270211,0.6299063937807393,0.7031942461261833,0.5537255252070784,0.5131578947368421,0.5611510791366906,0.4727272727272727,0.787085514834206,156,122,451,174
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200.0,,301,2000,200,15,0.3516666666666667,0.05627314338711376,0.6301457194899818,0.05947017287109983,0.676424160634687,0.04133748963617772,0.7040424487792908,0.04189613974051242,0.5800695877286274,0.06538233226024034,0.6275474609655655,0.03234667802102314,0.5034012373538187,0.04986332918006326,0.8484848484848483,0.08532642140444599,0.5043634727845254,0.12513909779699395,0.4,0.6423034330011074,0.6596779311438997,0.7031942461261833,0.5537255252070784,0.5967540574282147,0.5074309978768577,0.7242424242424242,0.5951134380453752,239,232,341,91
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500.0,,301,2000,500,15,0.5,0.0,0.7009471766848816,0.048164421312692995,0.6571136465873308,0.05543278688232377,0.7409295382979594,0.05310891365685705,0.634100155869936,0.07512507634329021,0.5432559660702655,0.08403706287232693,0.6158121946653378,0.07844626128219796,0.49393939393939384,0.10571992284235263,0.8202878992352677,0.05759296178404025,0.5,0.7009966777408638,0.6570918610185627,0.7364165212332752,0.6034075512950369,0.5469798657718121,0.6127819548872181,0.49393939393939396,0.8202443280977313,163,103,470,167
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500.0,,301,2000,500,15,0.37999999999999995,0.0780338754278276,0.6710746812386156,0.08631797411571904,0.7054206027890239,0.05433422242681712,0.7409295382979594,0.05310891365685705,0.634100155869936,0.07512507634329021,0.6534028618011899,0.04155217736362056,0.5540794335735019,0.09372311775422568,0.8333333333333334,0.10683084570781874,0.5775078722447144,0.18535029711174444,0.35,0.6190476190476191,0.6715532286212915,0.7364165212332752,0.6034075512950369,0.6244541484716157,0.4880546075085324,0.8666666666666667,0.47643979057591623,286,300,273,44
xgboost_pca10_t0_only,t0_only,xgboost,pca,default_0.5,,10.0,301,2000,10,15,0.5,0.0,0.6934608378870674,0.060150921168405286,0.6543205332679017,0.06544659696877293,0.7086737823579928,0.0647983940751811,0.6391323201721516,0.08029878197966474,0.546209116116272,0.09264419434481566,0.59789542758583,0.09798531999265822,0.5090909090909091,0.10478515716334705,0.7995501574448942,0.06741054560700104,0.5,0.6932447397563677,0.6541964144058385,0.7037971336400657,0.6232814221729125,0.5481239804241436,0.5936395759717314,0.509090909090909,0.7993019197207679,168,115,458,162
xgboost_pca10_t0_only,t0_only,xgboost,pca,tuned_f1,,10.0,301,2000,10,15,0.39,0.08904252595569957,0.6592531876138434,0.10773320245682301,0.6790414264098474,0.07294330528516929,0.7086737823579928,0.0647983940751811,0.6391323201721516,0.08029878197966474,0.6233371769956574,0.0663079259677736,0.5547066925287513,0.11740798928967305,0.7515151515151517,0.1188625085823018,0.6065677013045435,0.21689215057156513,0.35,0.5891472868217055,0.628073933047755,0.7037971336400657,0.6232814221729125,0.5788876276958003,0.4627949183303085,0.7727272727272727,0.48342059336823734,255,296,277,75
xgboost_pca20_t0_only,t0_only,xgboost,pca,default_0.5,,20.0,301,2000,20,15,0.5,0.0,0.7541712204007287,0.03136938178285975,0.7151678730626099,0.03606005829865364,0.7879053694843168,0.046766851996750784,0.7299801864803174,0.06131929719170802,0.6264440567441061,0.05567456830924489,0.7104520898960482,0.07261892286431024,0.5696969696969697,0.08905026018513224,0.8606387764282502,0.05736278803133702,0.5,0.7541528239202658,0.7150404569252737,0.7836004019250093,0.7122554947846497,0.6287625418060201,0.7014925373134329,0.5696969696969697,0.8603839441535777,188,80,493,142
xgboost_pca20_t0_only,t0_only,xgboost,pca,tuned_f1,,20.0,301,2000,20,15,0.41333333333333333,0.061139964328540776,0.7410018214936248,0.05551084485053234,0.7466261808367071,0.038714390162842366,0.7879053694843168,0.046766851996750784,0.7299801864803174,0.06131929719170802,0.6850123688232771,0.04323585174546465,0.6334871481968986,0.08111159382595091,0.7666666666666667,0.10289015168448358,0.7265856950067475,0.1255509454579278,0.45,0.743078626799557,0.7268760907504364,0.7836004019250093,0.7122554947846497,0.6547619047619048,0.6432748538011696,0.6666666666666666,0.787085514834206,220,122,451,110
xgboost_pca50_t0_only,t0_only,xgboost,pca,default_0.5,,50.0,301,2000,50,15,0.5,0.0,0.7508743169398907,0.04187951292207434,0.7138571954361429,0.040510448632437177,0.7915470494417864,0.03958926403955987,0.7444768358636004,0.047135795513361056,0.6275970187207778,0.057048428482001985,0.7045701562334957,0.09825226313411368,0.5757575757575758,0.08357893755977414,0.8519568151147099,0.07340930788513624,0.5,0.7508305647840532,0.713707758210376,0.7869638796340367,0.7225307242247028,0.628099173553719,0.6909090909090909,0.5757575757575758,0.8516579406631762,190,85,488,140
xgboost_pca50_t0_only,t0_only,xgboost,pca,tuned_f1,,50.0,301,2000,50,15,0.4133333333333334,0.051639777949432225,0.7443169398907103,0.057362661294070735,0.7480043348464404,0.04415380747146913,0.7915470494417864,0.03958926403955987,0.7444768358636004,0.047135795513361056,0.6863653863349413,0.048215814014361515,0.6414460282958772,0.09619880033000686,0.7606060606060605,0.09938813202335427,0.7354026090868194,0.1193113810495379,0.45,0.7452934662236987,0.7305489449468507,0.7869638796340367,0.7225307242247028,0.6597633136094675,0.6445086705202312,0.6757575757575758,0.7853403141361257,223,123,450,107
xgboost_pca10_t1_only,t1_only,xgboost,pca,default_0.5,,10.0,301,2000,10,15,0.5,0.0,0.6975956284153005,0.03896679564356309,0.6710689894900422,0.04720614500473359,0.7312926839242627,0.04152337733926297,0.6337544612214765,0.05248233493634294,0.577786374805586,0.067507212104155,0.5889583715201788,0.05567474694802368,0.5727272727272728,0.09839323077857562,0.7694107062528116,0.04765125939658713,0.5,0.6976744186046512,0.6711803902903379,0.7294145644930985,0.609298207372024,0.5806451612903226,0.5887850467289719,0.5727272727272728,0.7696335078534031,189,132,441,141
xgboost_pca10_t1_only,t1_only,xgboost,pca,tuned_f1,,10.0,301,2000,10,15,0.385,0.06930780207575067,0.6512021857923497,0.06833736985082423,0.6893080603606919,0.04718535049387866,0.7312926839242627,0.04152337733926297,0.6337544612214765,0.05248233493634294,0.6364201826680654,0.03656022596269853,0.5251408042129414,0.06254077228540487,0.8303030303030302,0.1023148061583887,0.5483130904183536,0.14622322862464426,0.4,0.6478405315614618,0.6749643027129938,0.7294145644930985,0.609298207372024,0.6168674698795181,0.512,0.7757575757575758,0.5741710296684118,256,244,329,74
xgboost_pca20_t1_only,t1_only,xgboost,pca,default_0.5,,20.0,301,2000,20,15,0.5,0.0,0.7441894353369762,0.04392920546939168,0.7142232036968877,0.04948666337437303,0.7989101541733121,0.05236369681188194,0.7446324461545939,0.07120720499726722,0.630655661909207,0.06806146805920746,0.6705761249414499,0.07212426291189014,0.603030303030303,0.0963726206707836,0.8254161043634728,0.0578205319254879,0.5,0.7441860465116279,0.7142551166111375,0.7961235390554762,0.7293537523125148,0.6327503974562798,0.6655518394648829,0.603030303030303,0.8254799301919721,199,100,473,131
xgboost_pca20_t1_only,t1_only,xgboost,pca,tuned_f1,,20.0,301,2000,20,15,0.4333333333333334,0.05232681184722836,0.7509107468123861,0.04654002778538526,0.7530200793358689,0.04047378191077862,0.7989101541733121,0.05236369681188194,0.7446324461545939,0.07120720499726722,0.6911631086095648,0.04555154567495641,0.6410343407247764,0.0693401844689132,0.7606060606060605,0.07772341196963432,0.745434098065677,0.08504834068111401,0.4,0.717607973421927,0.7292955735364113,0.7961235390554762,0.7293537523125148,0.6666666666666666,0.5862068965517241,0.7727272727272727,0.6858638743455497,255,180,393,75
xgboost_pca50_t1_only,t1_only,xgboost,pca,default_0.5,,50.0,301,2000,50,15,0.5,0.0,0.7497085610200364,0.04389556961126254,0.7115241483662536,0.05056704833984218,0.7932339590234326,0.04262556894432829,0.7280443488896448,0.05631872936094311,0.6224282380341132,0.07291052125253399,0.6945314243396085,0.07843285560676079,0.5696969696969698,0.09230529568327432,0.8533513270355375,0.0475078556023563,0.5,0.7497231450719822,0.7115500555291131,0.7936115077476333,0.721104950204657,0.6245847176079734,0.6911764705882353,0.5696969696969697,0.8534031413612565,188,84,489,142
xgboost_pca50_t1_only,t1_only,xgboost,pca,tuned_f1,,50.0,301,2000,50,15,0.4066666666666667,0.08423323628614834,0.7363023679417123,0.0893538626183383,0.74838670101828,0.058566486400112874,0.7932339590234326,0.04262556894432829,0.7280443488896448,0.05631872936094311,0.6935593773881547,0.052061946263731035,0.635473185994949,0.10584353273665553,0.7939393939393941,0.0984931731413432,0.7028340080971662,0.1843760180489657,0.45,0.7475083056478405,0.7355069014754878,0.7936115077476333,0.721104950204657,0.6666666666666666,0.6440677966101694,0.6909090909090909,0.7801047120418848,228,126,447,102
