experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100,,0.3,0.6166666666666667,0.6782296650717703,0.6758373205741627,0.4972714395301284,0.6349206349206349,0.4878048780487805,0.9090909090909091,0.4473684210526316,20,21,17,2,15
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.7377049180327869,0.6858974358974359,0.7494172494172494,0.6387358617321596,0.5789473684210527,0.6875,0.5,0.8717948717948718,11,5,34,11,1
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.7,0.6483253588516746,0.715311004784689,0.63535883548438,0.5263157894736842,0.625,0.45454545454545453,0.8421052631578947,10,6,32,12,2
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.7,0.6674641148325359,0.7523923444976077,0.6603954065305048,0.5714285714285714,0.6,0.5454545454545454,0.7894736842105263,12,8,30,10,3
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6166666666666667,0.5729665071770335,0.7212918660287082,0.5372640762143454,0.43902439024390244,0.47368421052631576,0.4090909090909091,0.7368421052631579,9,10,28,13,4
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.65,0.6088516746411483,0.6913875598086124,0.6442034530865692,0.4878048780487805,0.5263157894736842,0.45454545454545453,0.7631578947368421,10,9,29,12,5
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6229508196721312,0.606060606060606,0.6317016317016317,0.4923736552438853,0.5106382978723404,0.48,0.5454545454545454,0.6666666666666666,12,13,26,10,6
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.65,0.5705741626794258,0.6483253588516746,0.5410614521553659,0.36363636363636365,0.5454545454545454,0.2727272727272727,0.868421052631579,6,5,33,16,7
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6333333333333333,0.6052631578947368,0.6949760765550239,0.5400495482649372,0.5,0.5,0.5,0.7105263157894737,11,11,27,11,8
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200,,0.5,0.6833333333333333,0.6255980861244019,0.757177033492823,0.6662819556734623,0.4864864864864865,0.6,0.4090909090909091,0.8421052631578947,9,6,32,13,9
