experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7213114754098361,0.6235431235431235,0.8473193473193473,0.7884430802399977,0.41379310344827586,0.8571428571428571,0.2727272727272727,0.9743589743589743,6,1,38,16,1
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.6833333333333333,0.5777511961722488,0.742822966507177,0.6801352098738527,0.2962962962962963,0.8,0.18181818181818182,0.9736842105263158,4,1,37,18,2
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7666666666666667,0.6913875598086124,0.8624401913875598,0.7745267962380261,0.5625,0.9,0.4090909090909091,0.9736842105263158,9,1,37,13,3
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.8166666666666667,0.75,0.8875598086124402,0.8836571232258468,0.6666666666666666,1.0,0.5,1.0,11,0,38,11,4
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7166666666666667,0.6136363636363636,0.8301435406698564,0.7783589890864824,0.37037037037037035,1.0,0.22727272727272727,1.0,5,0,38,17,5
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7377049180327869,0.6363636363636364,0.8205128205128206,0.7975266996040162,0.42857142857142855,1.0,0.2727272727272727,1.0,6,0,39,16,6
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.6833333333333333,0.5777511961722488,0.7799043062200957,0.687068041495123,0.2962962962962963,0.8,0.18181818181818182,0.9736842105263158,4,1,37,18,7
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.6833333333333333,0.5681818181818181,0.8576555023923446,0.8234757738417224,0.24,1.0,0.13636363636363635,1.0,3,0,38,19,8
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7,0.6004784688995215,0.8504784688995215,0.7962662991108977,0.35714285714285715,0.8333333333333334,0.22727272727272727,0.9736842105263158,5,1,37,17,9
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7833333333333333,0.7045454545454546,0.8576555023923446,0.847782682623436,0.5806451612903226,1.0,0.4090909090909091,1.0,9,0,38,13,10
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7049180327868853,0.6107226107226107,0.7972027972027972,0.6960122623677581,0.4,0.75,0.2727272727272727,0.9487179487179487,6,2,37,16,11
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7333333333333333,0.645933014354067,0.7188995215311005,0.673959586664566,0.4666666666666667,0.875,0.3181818181818182,0.9736842105263158,7,1,37,15,12
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.75,0.6590909090909091,0.8444976076555024,0.7808488803504674,0.4827586206896552,1.0,0.3181818181818182,1.0,7,0,38,15,13
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7666666666666667,0.6818181818181819,0.7894736842105263,0.7565918170712362,0.5333333333333333,1.0,0.36363636363636365,1.0,8,0,38,14,14
pca50_rbf_svm_t1_only,t1_only,pca50_rbf_svm,0.7166666666666667,0.6136363636363636,0.8480861244019139,0.8047193216801602,0.37037037037037035,1.0,0.22727272727272727,1.0,5,0,38,17,15
pls2_logreg_t0_only,t0_only,pls2_logreg,0.8032786885245902,0.7966200466200466,0.8391608391608391,0.7527206454432878,0.7391304347826086,0.7083333333333334,0.7727272727272727,0.8205128205128205,17,7,32,5,1
pls2_logreg_t0_only,t0_only,pls2_logreg,0.75,0.7356459330143541,0.7942583732057417,0.6888729837492652,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.7894736842105263,15,8,30,7,2
pls2_logreg_t0_only,t0_only,pls2_logreg,0.8333333333333334,0.8397129186602871,0.9126794258373206,0.8842616884068382,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8157894736842105,19,7,31,3,3
pls2_logreg_t0_only,t0_only,pls2_logreg,0.7166666666666667,0.6901913875598087,0.7452153110047848,0.6923389352557026,0.6046511627906976,0.6190476190476191,0.5909090909090909,0.7894736842105263,13,8,30,9,4
pls2_logreg_t0_only,t0_only,pls2_logreg,0.7666666666666667,0.7488038277511961,0.812200956937799,0.7538839293889936,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7,5
pls2_logreg_t0_only,t0_only,pls2_logreg,0.6885245901639344,0.6771561771561772,0.7237762237762237,0.6521871468408191,0.5957446808510638,0.56,0.6363636363636364,0.717948717948718,14,11,28,8,6
pls2_logreg_t0_only,t0_only,pls2_logreg,0.8,0.784688995215311,0.8588516746411483,0.7762459375735544,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8421052631578947,16,6,32,6,7
