experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,n_samples,n_features,n_cv_fits,threshold_mean,threshold_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,recall_sensitivity_mean,recall_sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,pooled_threshold,pooled_roc_auc,pooled_pr_auc,pooled_balanced_accuracy,pooled_recall_sensitivity,pooled_specificity,pooled_f1,pooled_precision,pooled_tp,pooled_fp,pooled_tn,pooled_fn,pooled_accuracy,effective_n_features
xgboost_select100_t1_only,t1_only,xgboost,selectk,tuned_f1,100.0,,190,2000,15,0.26,0.1101135777277262,0.7108141762452106,0.11986111134348194,0.5027054147703572,0.13471326425218197,0.7124776500638569,0.09024126715265521,0.7851851851851852,0.13164300012783536,0.6397701149425286,0.18358952301468895,0.53575255320382,0.10097624280810563,0.43506503329756796,0.15800785970700668,0.6719298245614037,0.1330246393573916,0.25,0.7040904216983952,0.4444356218452302,0.6543004798818752,0.7054263565891473,0.6031746031746031,0.4607594936708861,0.34210526315789475,91,175,266,38,0.6263157894736842,100
xgboost_select200_t1_only,t1_only,xgboost,selectk,default_0.5,200.0,,190,2000,15,0.5,0.0,0.7353959131545338,0.1135527834861627,0.5469165771434085,0.14278693808775073,0.6313569604086846,0.05973233449000563,0.34907407407407404,0.10497263157778076,0.913639846743295,0.04820517670288805,0.4235490435490436,0.10962290836776516,0.5750264550264551,0.1955450057770194,0.7859649122807016,0.04859183134105392,0.5,0.7291743570813338,0.49435971664146516,0.6313347044244054,0.3488372093023256,0.9138321995464853,0.42452830188679247,0.5421686746987951,45,38,403,84,0.7859649122807018,200
xgboost_select200_t1_only,t1_only,xgboost,selectk,tuned_f1,200.0,,190,2000,15,0.26666666666666666,0.10293317295817757,0.7353959131545338,0.1135527834861627,0.5469165771434085,0.14278693808775073,0.7316219667943805,0.07516311196125286,0.7814814814814814,0.10035577511563236,0.6817624521072797,0.1455431450254563,0.558275295836383,0.09540130674659382,0.448731180402334,0.12143872513637116,0.7052631578947367,0.10813744936004253,0.2,0.7291743570813338,0.49435971664146516,0.6824869482676792,0.813953488372093,0.5510204081632653,0.4861111111111111,0.3465346534653465,105,198,243,24,0.6105263157894737,200
xgboost_select500_t1_only,t1_only,xgboost,selectk,default_0.5,500.0,,190,2000,15,0.5,0.0,0.7322254150702426,0.10985596060835602,0.5202184401930461,0.14989987442833075,0.6112005108556833,0.06799883262387584,0.2925925925925926,0.1220402083874692,0.9298084291187738,0.03727214633188628,0.37661394161394157,0.1337225375393524,0.5653968253968255,0.20549793885160994,0.7859649122807016,0.04320310609439635,0.5,0.7280317811879274,0.48334176293663844,0.612139429415177,0.29457364341085274,0.9297052154195011,0.3838383838383838,0.5507246376811594,38,31,410,91,0.7859649122807018,500
xgboost_select500_t1_only,t1_only,xgboost,selectk,tuned_f1,500.0,,190,2000,15,0.25,0.0790569415042095,0.7322254150702426,0.10985596060835602,0.5202184401930461,0.14989987442833075,0.7239495530012771,0.07737850666992041,0.8009259259259259,0.12161042163484904,0.6469731800766284,0.1628281527157153,0.5439876565975281,0.09380000894998627,0.43284164178901025,0.13478821767317756,0.6807017543859648,0.11636335343407943,0.25,0.7280317811879274,0.48334176293663844,0.6774508252913569,0.7131782945736435,0.6417233560090703,0.48548812664907653,0.368,92,158,283,37,0.6578947368421053,500
xgboost_pca10_t0_only,t0_only,xgboost,pca,default_0.5,,10.0,190,2000,15,0.5,0.0,0.8364719029374201,0.09031460513390728,0.734076552337723,0.12339486321087986,0.7182120051085569,0.1173670142693964,0.47037037037037044,0.2486109263692376,0.9660536398467432,0.028374967051931668,0.5524064497593909,0.24307448618899877,0.7532804232804234,0.24636705748805202,0.8526315789473683,0.050521616322804025,0.5,0.8274710400956248,0.6982774680939574,0.7155513368137952,0.46511627906976744,0.9659863945578231,0.5882352941176471,0.8,60,15,426,69,0.8526315789473684,10
xgboost_pca10_t0_only,t0_only,xgboost,pca,tuned_f1,,10.0,190,2000,15,0.3650000000000001,0.08493695140682714,0.8364719029374201,0.09031460513390728,0.734076552337723,0.12339486321087986,0.8007120051085568,0.07892709069540291,0.7175925925925927,0.1330795645016479,0.883831417624521,0.08626212425432557,0.6853324815306241,0.12009134821892234,0.6777657527657528,0.15666359237799457,0.8456140350877193,0.07367525903378122,0.4,0.8274710400956248,0.6982774680939574,0.7508305647840532,0.5968992248062015,0.9047619047619048,0.6209677419354839,0.6470588235294118,77,42,399,52,0.8350877192982457,10
xgboost_pca20_t0_only,t0_only,xgboost,pca,default_0.5,,20.0,190,2000,15,0.5,0.0,0.857484035759898,0.060739265569883044,0.7574995498453105,0.0974608365806633,0.6907183908045977,0.09314116952556524,0.39722222222222214,0.20370520682466112,0.9842145593869731,0.024954771637842522,0.5183525842349372,0.17983808204020982,0.925026455026455,0.11243336445579107,0.850877192982456,0.035399616270239444,0.5,0.8494260753396966,0.725352342196821,0.6897379106681432,0.3953488372093023,0.9841269841269841,0.5454545454545454,0.8793103448275862,51,7,434,78,0.8508771929824561,20
xgboost_pca20_t0_only,t0_only,xgboost,pca,tuned_f1,,20.0,190,2000,15,0.2966666666666667,0.08907594405631528,0.857484035759898,0.060739265569883044,0.7574995498453105,0.0974608365806633,0.8142401021711366,0.06142116522657519,0.7518518518518519,0.126301280759373,0.8766283524904215,0.10118642653083151,0.7020164656157835,0.09413971546041781,0.6896066896066896,0.15654424768002573,0.8491228070175438,0.07135598475124987,0.35,0.8494260753396966,0.725352342196821,0.7537573168802405,0.5891472868217055,0.9183673469387755,0.6307053941908713,0.6785714285714286,76,36,405,53,0.843859649122807,20
xgboost_pca50_t0_only,t0_only,xgboost,pca,default_0.5,,50.0,190,2000,15,0.5,0.0,0.8594859514687102,0.08989638284270968,0.761534480916425,0.10796232767751725,0.6507950191570883,0.09148698186460327,0.30833333333333335,0.19381985854431316,0.993256704980843,0.013962200114656853,0.43116883116883115,0.2035176048010156,0.8993650793650794,0.2586054816946258,0.8368421052631578,0.04125072699051188,0.5,0.8475100634569072,0.7263363367210864,0.6477614301534567,0.3023255813953488,0.9931972789115646,0.45614035087719296,0.9285714285714286,39,3,438,90,0.8368421052631579,50
xgboost_pca50_t0_only,t0_only,xgboost,pca,tuned_f1,,50.0,190,2000,15,0.325,0.06408699444616558,0.8594859514687102,0.08989638284270968,0.761534480916425,0.10796232767751725,0.7985919540229884,0.07470311452430095,0.6472222222222224,0.15738017193572548,0.9499616858237548,0.03635546101018314,0.7049074798610402,0.10540534556563898,0.8104497354497354,0.11720260256236247,0.8807017543859649,0.03961961330047796,0.3,0.8475100634569072,0.7263363367210864,0.7726625533934504,0.6201550387596899,0.9251700680272109,0.6611570247933884,0.7079646017699115,80,33,408,49,0.856140350877193,50
xgboost_pca10_t1_only,t1_only,xgboost,pca,default_0.5,,10.0,190,2000,15,0.5,0.0,0.8517113665389526,0.09944006812013165,0.74049042274491,0.13469022865528202,0.7202873563218389,0.06924596705260118,0.48333333333333334,0.14877512830008066,0.9572413793103448,0.03892366886369549,0.5820981306275423,0.1236897627836177,0.7856084656084655,0.16127128825509485,0.8491228070175438,0.03511903364566358,0.5,0.847281548278226,0.7188929187566897,0.7187681274060012,0.4806201550387597,0.9569160997732427,0.5904761904761905,0.7654320987654321,62,19,422,67,0.8491228070175438,10
xgboost_pca10_t1_only,t1_only,xgboost,pca,tuned_f1,,10.0,190,2000,15,0.3516666666666667,0.07586799312590509,0.8517113665389526,0.09944006812013165,0.74049042274491,0.13469022865528202,0.8358269476372924,0.06867353864095917,0.8009259259259259,0.14937283152686737,0.870727969348659,0.08604568030679736,0.7167273576097105,0.0954034581080427,0.677535213324687,0.15313820318171215,0.8543859649122806,0.06039268237915264,0.4,0.847281548278226,0.7188929187566897,0.7740863787375416,0.6434108527131783,0.9047619047619048,0.6535433070866141,0.664,83,42,399,46,0.8456140350877193,10
xgboost_pca20_t1_only,t1_only,xgboost,pca,default_0.5,,20.0,190,2000,15,0.5,0.0,0.8699968071519797,0.10034884009635406,0.7819668025200748,0.12277166406908212,0.7004246487867177,0.10778731580880511,0.41203703703703703,0.2278955044842674,0.9888122605363985,0.024202223652856222,0.534032634032634,0.2022394400903638,0.95,0.10350983390135313,0.8561403508771929,0.04859183134105393,0.5,0.861625270263144,0.7511330429127816,0.6958814533565364,0.40310077519379844,0.9886621315192744,0.5591397849462365,0.9122807017543859,52,5,436,77,0.856140350877193,20
xgboost_pca20_t1_only,t1_only,xgboost,pca,tuned_f1,,20.0,190,2000,15,0.34,0.08649938067490923,0.8699968071519797,0.10034884009635406,0.7819668025200748,0.12277166406908212,0.8431609195402301,0.08994645996224598,0.75,0.17747680376042352,0.9363218390804597,0.06628592938363691,0.7597231200172376,0.12799135036611498,0.807900432900433,0.16056476591129185,0.8929824561403509,0.06088214030874789,0.35,0.861625270263144,0.7511330429127816,0.7881664293624426,0.6511627906976745,0.9251700680272109,0.6829268292682927,0.717948717948718,84,33,408,45,0.8631578947368421,20
xgboost_pca50_t1_only,t1_only,xgboost,pca,default_0.5,,50.0,190,2000,15,0.5,0.0,0.9040229885057472,0.05369503548207233,0.8074002392029344,0.08875489660714599,0.6419604086845465,0.09653872833567431,0.2907407407407407,0.19326931373294984,0.9931800766283524,0.01412081056295849,0.4119621119621119,0.22324860177985623,0.8777777777777778,0.26886494711724657,0.8333333333333331,0.04838780595565869,0.5,0.8887306860728789,0.7708033127731329,0.6400094921689606,0.2868217054263566,0.9931972789115646,0.4378698224852071,0.925,37,3,438,92,0.8333333333333334,50
xgboost_pca50_t1_only,t1_only,xgboost,pca,tuned_f1,,50.0,190,2000,15,0.2733333333333333,0.08423323628614832,0.9040229885057472,0.05369503548207233,0.8074002392029344,0.08875489660714599,0.8467975734355044,0.06001649058368834,0.7935185185185187,0.10109446633158957,0.9000766283524905,0.07768796667577826,0.7508350942716268,0.10367195674155703,0.7351554001554,0.16656480477471342,0.8754385964912278,0.06248598312680669,0.3,0.8887306860728789,0.7708033127731329,0.7938353636028055,0.6511627906976745,0.9365079365079365,0.6970954356846473,0.75,84,28,413,45,0.8719298245614036,50
