experiment,feature_set,model,fold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
logreg_l2_t0_t1,t0_t1,logreg_l2,11,0.868421052631579,0.8708333333333333,0.925,0.7601190476190476,0.7368421052631579,0.6363636363636364,0.875,0.8666666666666667,7,4,26,1
logreg_l2_t0_t1,t0_t1,logreg_l2,12,0.8157894736842105,0.8833333333333333,0.9875,0.9659090909090909,0.6956521739130435,0.5333333333333333,1.0,0.7666666666666667,8,7,23,0
logreg_l2_t0_t1,t0_t1,logreg_l2,13,0.8421052631578947,0.8199233716475096,0.8888888888888888,0.8435455424702738,0.7,0.6363636363636364,0.7777777777777778,0.8620689655172413,7,4,25,2
logreg_l2_t0_t1,t0_t1,logreg_l2,14,0.9473684210526315,0.9272030651340997,0.9540229885057472,0.9265432098765434,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9655172413793104,8,1,28,1
logreg_l2_t0_t1,t0_t1,logreg_l2,15,0.8947368421052632,0.9310344827586207,0.9846743295019157,0.9658119658119659,0.8181818181818182,0.6923076923076923,1.0,0.8620689655172413,9,4,25,0
logreg_l2_t0_delta,t0_delta,logreg_l2,1,0.868421052631579,0.825,0.9041666666666666,0.7760110294117647,0.7058823529411765,0.6666666666666666,0.75,0.9,6,3,27,2
logreg_l2_t0_delta,t0_delta,logreg_l2,2,0.7105263157894737,0.7708333333333333,0.9208333333333334,0.8289862914862915,0.56,0.4117647058823529,0.875,0.6666666666666666,7,10,20,1
logreg_l2_t0_delta,t0_delta,logreg_l2,3,0.8157894736842105,0.8026819923371648,0.89272030651341,0.8154660154660156,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.8275862068965517,7,5,24,2
logreg_l2_t0_delta,t0_delta,logreg_l2,4,0.8157894736842105,0.764367816091954,0.8582375478927203,0.8095238095238095,0.631578947368421,0.6,0.6666666666666666,0.8620689655172413,6,4,25,3
logreg_l2_t0_delta,t0_delta,logreg_l2,5,0.7894736842105263,0.8237547892720306,0.89272030651341,0.8054660154660156,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.7586206896551724,8,7,22,1
logreg_l2_t0_delta,t0_delta,logreg_l2,6,0.7631578947368421,0.85,0.9750000000000001,0.9464285714285714,0.64,0.47058823529411764,1.0,0.7,8,9,21,0
logreg_l2_t0_delta,t0_delta,logreg_l2,7,0.7894736842105263,0.8666666666666667,0.9708333333333333,0.9105519480519481,0.6666666666666666,0.5,1.0,0.7333333333333333,8,8,22,0
logreg_l2_t0_delta,t0_delta,logreg_l2,8,0.6842105263157895,0.6398467432950192,0.7318007662835249,0.5917757042757043,0.45454545454545453,0.38461538461538464,0.5555555555555556,0.7241379310344828,5,8,21,4
logreg_l2_t0_delta,t0_delta,logreg_l2,9,0.8157894736842105,0.7260536398467433,0.9118773946360152,0.8154520917678814,0.5882352941176471,0.625,0.5555555555555556,0.896551724137931,5,3,26,4
logreg_l2_t0_delta,t0_delta,logreg_l2,10,0.7631578947368421,0.7298850574712643,0.789272030651341,0.5573124805477747,0.5714285714285714,0.5,0.6666666666666666,0.7931034482758621,6,6,23,3
logreg_l2_t0_delta,t0_delta,logreg_l2,11,0.7894736842105263,0.775,0.8333333333333334,0.5324239417989418,0.6,0.5,0.75,0.8,6,6,24,2
logreg_l2_t0_delta,t0_delta,logreg_l2,12,0.7894736842105263,0.8666666666666667,0.9958333333333333,0.9861111111111112,0.6666666666666666,0.5,1.0,0.7333333333333333,8,8,22,0
logreg_l2_t0_delta,t0_delta,logreg_l2,13,0.7894736842105263,0.7471264367816092,0.8084291187739464,0.7406359611293198,0.6,0.5454545454545454,0.6666666666666666,0.8275862068965517,6,5,24,3
logreg_l2_t0_delta,t0_delta,logreg_l2,14,0.8421052631578947,0.7816091954022988,0.8888888888888888,0.8296613190730839,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.896551724137931,6,3,26,3
logreg_l2_t0_delta,t0_delta,logreg_l2,15,0.8157894736842105,0.8409961685823755,0.9348659003831418,0.8683760683760684,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.7931034482758621,8,6,23,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,1,0.8947368421052632,0.8875,0.9666666666666668,0.9129464285714286,0.7777777777777778,0.7,0.875,0.9,7,3,27,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,2,0.7368421052631579,0.7875,0.9458333333333333,0.9226190476190477,0.5833333333333334,0.4375,0.875,0.7,7,9,21,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,3,0.8421052631578947,0.8582375478927202,0.9348659003831419,0.8764430014430016,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.8275862068965517,8,5,24,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,4,0.868421052631579,0.8371647509578544,0.8582375478927203,0.8285714285714285,0.7368421052631579,0.7,0.7777777777777778,0.896551724137931,7,3,26,2
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,5,0.7631578947368421,0.8065134099616857,0.9042145593869731,0.8267094017094019,0.64,0.5,0.8888888888888888,0.7241379310344828,8,8,21,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,6,0.8421052631578947,0.9,1.0,1.0,0.7272727272727273,0.5714285714285714,1.0,0.8,8,6,24,0
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,7,0.868421052631579,0.9166666666666667,0.9958333333333333,0.9861111111111112,0.7619047619047619,0.6153846153846154,1.0,0.8333333333333334,8,5,25,0
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,8,0.7368421052631579,0.7126436781609196,0.7662835249042146,0.6215977340977341,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.7586206896551724,6,7,22,3
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,9,0.8421052631578947,0.8582375478927202,0.9501915708812261,0.8967864923747277,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.8275862068965517,8,5,24,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,10,0.7368421052631579,0.7126436781609196,0.8505747126436781,0.6751203556028118,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.7586206896551724,6,7,22,3
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,11,0.7894736842105263,0.775,0.8708333333333333,0.6520089285714286,0.6,0.5,0.75,0.8,6,6,24,2
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,12,0.7631578947368421,0.85,0.9875,0.9659090909090909,0.64,0.47058823529411764,1.0,0.7,8,9,21,0
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,13,0.8157894736842105,0.764367816091954,0.842911877394636,0.7617845117845119,0.631578947368421,0.6,0.6666666666666666,0.8620689655172413,6,4,25,3
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,14,0.9210526315789473,0.9099616858237547,0.9616858237547892,0.9415204678362574,0.8421052631578947,0.8,0.8888888888888888,0.9310344827586207,8,2,27,1
logreg_l2_t0_t1_delta,t0_t1_delta,logreg_l2,15,0.8157894736842105,0.8409961685823755,0.9731800766283525,0.9513888888888891,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.7931034482758621,8,6,23,1
pca10_logreg_t0_only,t0_only,pca10_logreg,1,0.868421052631579,0.825,0.9083333333333333,0.8559782608695652,0.7058823529411765,0.6666666666666666,0.75,0.9,6,3,27,2
pca10_logreg_t0_only,t0_only,pca10_logreg,2,0.868421052631579,0.9166666666666667,0.9625,0.8763257575757576,0.7619047619047619,0.6153846153846154,1.0,0.8333333333333334,8,5,25,0
pca10_logreg_t0_only,t0_only,pca10_logreg,3,0.7631578947368421,0.6915708812260537,0.8275862068965517,0.6880229419703103,0.5263157894736842,0.5,0.5555555555555556,0.8275862068965517,5,5,24,4
pca10_logreg_t0_only,t0_only,pca10_logreg,4,0.8421052631578947,0.6666666666666666,0.8582375478927203,0.7300298466965134,0.5,1.0,0.3333333333333333,1.0,3,0,29,6
pca10_logreg_t0_only,t0_only,pca10_logreg,5,0.8157894736842105,0.8409961685823755,0.9540229885057472,0.9265432098765434,0.6956521739130435,0.5714285714285714,0.8888888888888888,0.7931034482758621,8,6,23,1
pca10_logreg_t0_only,t0_only,pca10_logreg,6,0.8421052631578947,0.9,0.9333333333333333,0.6912698412698413,0.7272727272727273,0.5714285714285714,1.0,0.8,8,6,24,0
pca10_logreg_t0_only,t0_only,pca10_logreg,7,0.8157894736842105,0.7458333333333333,0.8958333333333334,0.7406746031746032,0.5882352941176471,0.5555555555555556,0.625,0.8666666666666667,5,4,26,3
pca10_logreg_t0_only,t0_only,pca10_logreg,8,0.7368421052631579,0.6360153256704981,0.7739463601532567,0.6171832462231381,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8275862068965517,4,5,24,5
pca10_logreg_t0_only,t0_only,pca10_logreg,9,0.8947368421052632,0.89272030651341,0.9578544061302683,0.9222222222222223,0.8,0.7272727272727273,0.8888888888888888,0.896551724137931,8,3,26,1
pca10_logreg_t0_only,t0_only,pca10_logreg,10,0.8157894736842105,0.6877394636015326,0.735632183908046,0.6265151515151515,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.9310344827586207,4,2,27,5
pca10_logreg_t0_only,t0_only,pca10_logreg,11,0.8421052631578947,0.8083333333333333,0.9291666666666666,0.8170100732600732,0.6666666666666666,0.6,0.75,0.8666666666666667,6,4,26,2
pca10_logreg_t0_only,t0_only,pca10_logreg,12,0.7631578947368421,0.8041666666666667,0.95,0.888188608776844,0.6086956521739131,0.4666666666666667,0.875,0.7333333333333333,7,8,22,1
pca10_logreg_t0_only,t0_only,pca10_logreg,13,0.7894736842105263,0.6704980842911877,0.8237547892720307,0.6180335097001763,0.5,0.5714285714285714,0.4444444444444444,0.896551724137931,4,3,26,5
pca10_logreg_t0_only,t0_only,pca10_logreg,14,0.8421052631578947,0.7432950191570882,0.7586206896551724,0.6954296061033811,0.625,0.7142857142857143,0.5555555555555556,0.9310344827586207,5,2,27,4
pca10_logreg_t0_only,t0_only,pca10_logreg,15,0.868421052631579,0.7988505747126436,0.9080459770114943,0.8155945419103314,0.7058823529411765,0.75,0.6666666666666666,0.9310344827586207,6,2,27,3
pca20_logreg_t0_only,t0_only,pca20_logreg,1,0.8947368421052632,0.7958333333333334,0.9666666666666667,0.8993055555555556,0.7142857142857143,0.8333333333333334,0.625,0.9666666666666667,5,1,29,3
pca20_logreg_t0_only,t0_only,pca20_logreg,2,0.8947368421052632,0.8875,0.9791666666666667,0.932426948051948,0.7777777777777778,0.7,0.875,0.9,7,3,27,1
pca20_logreg_t0_only,t0_only,pca20_logreg,3,0.868421052631579,0.7605363984674329,0.8084291187739464,0.6957264957264957,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.9655172413793104,5,1,28,4
pca20_logreg_t0_only,t0_only,pca20_logreg,4,0.8421052631578947,0.7049808429118773,0.9003831417624522,0.7762986526144422,0.5714285714285714,0.8,0.4444444444444444,0.9655172413793104,4,1,28,5
pca20_logreg_t0_only,t0_only,pca20_logreg,5,0.8947368421052632,0.8544061302681992,0.9501915708812261,0.8881291547958217,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9310344827586207,7,2,27,2
pca20_logreg_t0_only,t0_only,pca20_logreg,6,0.8421052631578947,0.9,0.9416666666666667,0.8238906926406927,0.7272727272727273,0.5714285714285714,1.0,0.8,8,6,24,0
pca20_logreg_t0_only,t0_only,pca20_logreg,7,0.8421052631578947,0.7625,0.9041666666666668,0.7412660256410256,0.625,0.625,0.625,0.9,5,3,27,3
pca20_logreg_t0_only,t0_only,pca20_logreg,8,0.7368421052631579,0.5977011494252873,0.789272030651341,0.6249338280191274,0.375,0.42857142857142855,0.3333333333333333,0.8620689655172413,3,4,25,6
pca20_logreg_t0_only,t0_only,pca20_logreg,9,0.868421052631579,0.8371647509578544,0.9501915708812261,0.8530303030303032,0.7368421052631579,0.7,0.7777777777777778,0.896551724137931,7,3,26,2
pca20_logreg_t0_only,t0_only,pca20_logreg,10,0.8421052631578947,0.6666666666666666,0.8659003831417623,0.7748262267870112,0.5,1.0,0.3333333333333333,1.0,3,0,29,6
pca20_logreg_t0_only,t0_only,pca20_logreg,11,0.8947368421052632,0.8875,0.9500000000000001,0.8260281385281385,0.7777777777777778,0.7,0.875,0.9,7,3,27,1
pca20_logreg_t0_only,t0_only,pca20_logreg,12,0.8947368421052632,0.8875,0.9666666666666667,0.897159090909091,0.7777777777777778,0.7,0.875,0.9,7,3,27,1
pca20_logreg_t0_only,t0_only,pca20_logreg,13,0.8421052631578947,0.7049808429118773,0.8505747126436781,0.7459114959114961,0.5714285714285714,0.8,0.4444444444444444,0.9655172413793104,4,1,28,5
pca20_logreg_t0_only,t0_only,pca20_logreg,14,0.8421052631578947,0.7432950191570882,0.7969348659003832,0.7244478192058839,0.625,0.7142857142857143,0.5555555555555556,0.9310344827586207,5,2,27,4
pca20_logreg_t0_only,t0_only,pca20_logreg,15,0.8421052631578947,0.8199233716475096,0.842911877394636,0.7780151946818614,0.7,0.6363636363636364,0.7777777777777778,0.8620689655172413,7,4,25,2
pca10_logreg_t0_delta,t0_delta,pca10_logreg,1,0.8157894736842105,0.7458333333333333,0.7708333333333334,0.5684274789537948,0.5882352941176471,0.5555555555555556,0.625,0.8666666666666667,5,4,26,3
pca10_logreg_t0_delta,t0_delta,pca10_logreg,2,0.6578947368421053,0.6916666666666667,0.725,0.5020643898585075,0.48,0.35294117647058826,0.75,0.6333333333333333,6,11,19,2
pca10_logreg_t0_delta,t0_delta,pca10_logreg,3,0.7631578947368421,0.7298850574712643,0.7471264367816092,0.5848534517012778,0.5714285714285714,0.5,0.6666666666666666,0.7931034482758621,6,6,23,3
pca10_logreg_t0_delta,t0_delta,pca10_logreg,4,0.8157894736842105,0.6877394636015326,0.8084291187739463,0.6229302832244008,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.9310344827586207,4,2,27,5
pca10_logreg_t0_delta,t0_delta,pca10_logreg,5,0.6578947368421053,0.5842911877394636,0.7088122605363985,0.3901741862032615,0.38095238095238093,0.3333333333333333,0.4444444444444444,0.7241379310344828,4,8,21,5
pca10_logreg_t0_delta,t0_delta,pca10_logreg,6,0.6578947368421053,0.6458333333333333,0.7333333333333333,0.5726176236044657,0.43478260869565216,0.3333333333333333,0.625,0.6666666666666666,5,10,20,3
pca10_logreg_t0_delta,t0_delta,pca10_logreg,7,0.7631578947368421,0.7583333333333333,0.825,0.5484126984126985,0.5714285714285714,0.46153846153846156,0.75,0.7666666666666667,6,7,23,2
